City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Yenagoa,NG,76.55,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
6,Axim,GH,79.68,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
11,Avarua,CK,77.0,overcast clouds,-21.2078,-159.775,Paradise Inn
13,Port Alfred,ZA,70.38,overcast clouds,-33.5906,26.891,The Halyards Hotel
18,Vaini,TO,73.4,few clouds,-21.2,-175.2,Keleti Beach Resort
23,Namibe,AO,80.8,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
30,Ibra,OM,86.22,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
35,Rikitea,PF,78.67,few clouds,-23.1203,-134.9692,Pension Maro'i
39,Hilo,US,71.6,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
41,Manta,EC,77.0,overcast clouds,-0.95,-80.7333,Balandra Hotel
45,Alofi,NU,78.8,clear sky,-19.0595,-169.9187,Taloa Heights
47,Cayenne,GF,73.99,fog,4.9333,-52.3333,Hôtel Le Dronmi
56,Amuntai,ID,89.42,overcast clouds,-2.4177,115.2494,Hotel Balqis
59,Pilar,BR,71.6,mist,-9.5972,-35.9567,Pousada e churrascaria Manguaba
60,Mariel,CU,75.2,few clouds,22.9875,-82.7536,Casa de Alojamiento Marilda y Jesus
66,Iquitos,PE,75.2,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
72,Candolim,IN,87.8,mist,15.5181,73.7626,Resort Terra Paraiso
74,Jieshi,CN,80.01,few clouds,22.8134,115.8257,Yuehai Hotel
75,Shetpe,KZ,72.25,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
77,Kahului,US,73.4,few clouds,20.8947,-156.47,Maui Seaside Hotel
78,Lakatoro,VU,80.28,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
79,Otukpo,NG,77.85,overcast clouds,7.1913,8.1329,Queen s Hotel
83,Bambanglipuro,ID,86.18,scattered clouds,-7.95,110.2833,Puri Brata
85,Paita,PE,70.32,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
87,Georgetown,MY,89.6,few clouds,5.4112,100.3354,Cititel Penang
88,Cabedelo,BR,73.4,light rain,-6.9811,-34.8339,Hotel Pigalle
91,Dingle,PH,88.05,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
95,Jeremie,HT,75.29,broken clouds,18.65,-74.1167,Auberge’Inn
98,Grand Gaube,MU,82.99,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
100,Hithadhoo,MV,83.41,broken clouds,-0.6,73.0833,Scoop Guest House
102,Ternate,ID,84.99,moderate rain,0.8,127.4,Grand Dafam Bela Ternate
