City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,-0.4,60,20,10.36,few clouds
1,Tiznit,MA,29.5833,-9.5,54.39,88,82,1.14,broken clouds
2,Ponta Do Sol,PT,32.6667,-17.1,60.01,67,98,3.0,overcast clouds
3,Mataura,NZ,-46.1927,168.8643,57.99,79,97,4.0,overcast clouds
4,Yenagoa,NG,4.9247,6.2642,76.55,89,100,5.08,overcast clouds
5,Nikolskoye,RU,59.7035,30.7861,41.0,65,0,6.71,clear sky
6,Axim,GH,4.8699,-2.2405,79.68,87,44,8.68,scattered clouds
7,Thompson,CA,55.7435,-97.8558,28.4,80,75,9.22,broken clouds
8,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,69,1,10.36,clear sky
9,Albany,US,42.6001,-73.9662,60.01,70,100,3.4,overcast clouds
10,Punta Arenas,CL,-53.15,-70.9167,46.4,71,40,16.11,scattered clouds
11,Avarua,CK,-21.2078,-159.775,77.0,94,97,3.44,overcast clouds
12,Chernyshevskiy,RU,63.0128,112.4714,18.91,64,4,8.19,clear sky
13,Port Alfred,ZA,-33.5906,26.891,70.38,83,89,4.9,overcast clouds
14,Bethel,US,41.3712,-73.414,54.0,87,1,3.38,clear sky
15,Qaanaaq,GL,77.484,-69.3632,11.46,85,100,7.4,overcast clouds
16,Katsuura,JP,35.1333,140.3,64.99,48,20,4.61,few clouds
17,Hermanus,ZA,-34.4187,19.2345,57.99,96,100,3.0,overcast clouds
18,Vaini,TO,-21.2,-175.2,73.4,88,20,4.61,few clouds
19,Cape Town,ZA,-33.9258,18.4232,63.0,94,0,8.05,clear sky
20,Ushuaia,AR,-54.8,-68.3,44.6,70,40,17.27,scattered clouds
21,Constitucion,CL,-35.3333,-72.4167,52.48,70,0,9.44,clear sky
22,Mar Del Plata,AR,-38.0023,-57.5575,60.8,94,90,23.02,moderate rain
23,Namibe,AO,-15.1961,12.1522,80.8,65,43,2.59,scattered clouds
24,Pevek,RU,69.7008,170.3133,-9.78,93,52,1.61,broken clouds
25,Mali,GN,12.079,-12.2982,63.43,66,1,4.23,clear sky
26,Coquimbo,CL,-29.9533,-71.3436,53.6,76,20,2.3,few clouds
27,Komsomolskiy,UZ,40.4272,71.7189,68.0,28,0,6.91,clear sky
28,Hobart,AU,-42.8794,147.3294,50.0,81,75,23.02,moderate rain
29,Busselton,AU,-33.65,115.3333,60.01,96,100,1.99,overcast clouds
30,Ibra,OM,22.6906,58.5334,86.22,27,0,5.21,clear sky
31,Kangaatsiaq,GL,68.3065,-53.4641,21.96,86,97,11.48,overcast clouds
32,Olafsvik,IS,64.8945,-23.7142,38.48,97,100,8.84,light rain
33,Port Lincoln,AU,-34.7333,135.8667,60.66,54,85,12.35,overcast clouds
34,Jaca,ES,42.569,-0.5499,46.99,96,74,3.13,light rain
35,Rikitea,PF,-23.1203,-134.9692,78.67,75,21,12.71,few clouds
36,Ulladulla,AU,-35.35,150.4667,64.4,32,54,20.71,broken clouds
37,Jevargi,IN,17.0167,76.7667,90.86,28,60,1.43,broken clouds
38,Barrow,US,71.2906,-156.7887,-9.4,70,1,5.75,clear sky
39,Hilo,US,19.7297,-155.09,71.6,68,90,4.61,overcast clouds
40,Bluff,NZ,-46.6,168.3333,57.99,79,91,4.0,overcast clouds
41,Manta,EC,-0.95,-80.7333,77.0,88,90,6.91,overcast clouds
42,Saskylakh,RU,71.9167,114.0833,17.49,72,100,12.41,overcast clouds
43,Kozhva,RU,65.1073,57.0459,39.83,76,27,14.67,scattered clouds
44,Hasaki,JP,35.7333,140.8333,64.99,44,40,6.91,scattered clouds
45,Alofi,NU,-19.0595,-169.9187,78.8,83,9,3.44,clear sky
46,Verkhnevilyuysk,RU,63.4453,120.3167,17.96,71,98,9.04,overcast clouds
47,Cayenne,GF,4.9333,-52.3333,73.99,100,90,6.13,fog
48,San Clemente,US,33.427,-117.612,59.0,90,95,1.99,overcast clouds
49,Norman Wells,CA,65.282,-126.8329,-7.6,77,75,8.05,broken clouds
50,Severo-Kurilsk,RU,50.6789,156.125,31.08,76,23,22.5,few clouds
51,Fallon,US,39.4735,-118.7774,51.8,25,1,6.91,clear sky
52,Lebu,CL,-37.6167,-73.65,50.18,83,8,6.22,clear sky
53,Pindorama,BR,-21.1858,-48.9072,69.8,56,0,7.31,clear sky
54,Ahipara,NZ,-35.1667,173.1667,66.13,85,0,5.03,clear sky
55,Tasiilaq,GL,65.6145,-37.6368,28.4,46,23,18.41,few clouds
56,Amuntai,ID,-2.4177,115.2494,89.42,57,100,1.99,overcast clouds
57,Gainesville,US,29.6516,-82.3248,60.01,94,1,4.65,mist
58,Tiksi,RU,71.6872,128.8694,1.8,82,26,7.36,scattered clouds
59,Pilar,BR,-9.5972,-35.9567,71.6,100,75,4.61,mist
60,Mariel,CU,22.9875,-82.7536,75.2,94,20,3.44,few clouds
61,Palora,EC,-1.7,-77.9333,65.98,98,100,1.66,moderate rain
62,East London,ZA,-33.0153,27.9116,66.2,94,75,3.44,broken clouds
63,Mount Gambier,AU,-37.8333,140.7667,59.0,51,90,20.71,overcast clouds
64,Nantucket,US,41.2835,-70.0995,46.99,100,90,6.91,fog
65,Cuiluan,CN,47.72,128.648,53.37,58,100,6.51,overcast clouds
66,Iquitos,PE,-3.7481,-73.2472,75.2,94,75,2.3,broken clouds
67,Kaniama,CD,-7.5667,24.1833,66.29,93,100,4.52,overcast clouds
68,Ust-Omchug,RU,61.15,149.6333,6.51,80,100,7.63,overcast clouds
69,Mezen,RU,65.8522,44.24,36.0,80,100,15.86,overcast clouds
70,Leningradskiy,RU,69.3833,178.4167,-9.35,98,96,3.22,overcast clouds
71,La Ronge,CA,55.1001,-105.2842,32.0,100,100,4.61,overcast clouds
72,Candolim,IN,15.5181,73.7626,87.8,70,75,4.61,mist
